DATE,FEDFUNDS,M2,CPI,GDP,W5000,Bert_Sent,Blob_Sent
1989-04-01,9.84,3006,123.1,5612.463,2926.75,0.121238730847836,0.0170325939448809
1989-05-01,9.81,3011.6,123.7,5695.365,3049.719971,0.121238730847836,0.0170325939448809
1989-06-01,9.53,3027.9,124.1,5695.365,3176.51001,0.0996959432959557,0.0447542211328976
1989-07-01,9.24,3052.4,124.5,5695.365,3146.48999,0.0996959432959557,0.0447542211328976
1989-08-01,8.99,3074.4,124.5,5747.237,3360.23999,0.0517399683594704,0.0490435305435305
1989-09-01,9.02,3092.5,124.8,5747.237,3458.149902,0.0583096146583557,0.0658707998350855
1989-10-01,8.84,3114.1,125.4,5747.237,3443.070068,0.0583096146583557,0.0658707998350855
1989-11-01,8.55,3133.3,125.9,5872.701,3330.040039,0.0682408139109612,0.026934293919588
1989-12-01,8.45,3152.5,126.3,5872.701,3403.689941,0.0149987768381834,0.021494721019721
1990-01-01,8.23,3166.8,127.5,5872.701,3469.280029,0.0828081741929054,0.00392032630668994
1990-02-01,8.24,3179.2,128,5960.028,3166.399902,0.0828081741929054,0.00392032630668994
1990-03-01,8.28,3190.1,128.6,5960.028,3210.97998,0.11006672680378,0.0175396002881798
1990-04-01,8.26,3201.6,128.9,5960.028,3258.449951,0.0817331150174141,0.0417786796536797
1990-05-01,8.18,3200.6,129.1,6015.116,3185.439941,0.0817331150174141,0.0417786796536797
1990-06-01,8.29,3213.7,129.9,6015.116,3467.969971,0.0538744851946831,0.0538744851946832
1990-07-01,8.15,3224.5,130.5,6015.116,3435.590088,0.0538744851946831,0.0538744851946832
1990-08-01,8.13,3242,131.6,6004.733,3377.800049,0.0792843699455261,0.0587612922378547
1990-09-01,8.2,3254.6,132.5,6004.733,3055.659912,0.031270507723093,0.0726431673471147
1990-10-01,8.11,3259.3,133.4,6004.733,2954.75,0.031270507723093,0.0726431673471147
1990-11-01,7.81,3262.6,133.7,6035.178,2856.919922,0.0557850264012814,0.0498601499012683
1990-12-01,7.31,3271.8,134.2,6035.178,3032.850098,-0.0166140701621771,0.0340120763882374
1991-01-01,6.91,3287.7,134.7,6035.178,3069.580078,0.0531146042048931,0.073141790807232
1991-02-01,6.25,3304.5,134.8,6126.862,3248.26001,0.0531146042048931,0.073141790807232
1991-03-01,6.12,3321.9,134.8,6126.862,3513.939941,0.10050967335701,0.0191169721015049
1991-04-01,5.91,3332.4,135.1,6126.862,3552.179932,0.0931207686662674,0.0170351363093299
1991-05-01,5.78,3343,135.6,6205.937,3628.830078,0.0931207686662674,0.0170351363093299
1991-06-01,5.9,3351.9,136,6205.937,3709.26001,0.0932367518544197,-0.00568292047458714
1991-07-01,5.82,3356.1,136.2,6205.937,3598.679932,0.0932367518544197,-0.00568292047458714
1991-08-01,5.66,3355,136.6,6264.54,3703,0.0923749431967735,0.0331112689393939
1991-09-01,5.45,3354.9,137,6264.54,3767.73999,0.0446627959609032,0.0141364012331754
1991-10-01,5.21,3360.1,137.2,6264.54,3755.689941,0.0382421612739563,0.0156977872827155
1991-11-01,4.81,3365.5,137.8,6363.102,3799.26001,0.0382421612739563,0.0156977872827155
1991-12-01,4.43,3372.2,138.2,6363.102,3699.120117,0.0213209148496389,0.00366863075196408
1992-01-01,4.03,3381.2,138.3,6363.102,4037.129883,0.0443708971142769,0.0115131538818133
1992-02-01,4.06,3400,138.6,6470.763,4034.830078,0.0443708971142769,0.0115131538818133
1992-03-01,3.98,3403.9,139.1,6470.763,4072,0.114622257649899,0.0303739539534994
1992-04-01,3.73,3399.7,139.4,6470.763,3962.659912,0.125818073749542,0.0424591052615246
1992-05-01,3.82,3398.6,139.7,6566.641,3992.76001,0.125818073749542,0.0424591052615246
1992-06-01,3.76,3393.4,140.1,6566.641,4041.580078,0.0795423686504364,0.025364898989899
1992-07-01,3.25,3393.9,140.5,6566.641,3972.449951,0.058633528649807,0.0339460001803752
1992-08-01,3.3,3398.8,140.8,6680.803,4094.439941,0.058633528649807,0.0339460001803752
1992-09-01,3.22,3410.3,141.1,6680.803,4002.080078,0.0157251283526421,0.0315724206349206
1992-10-01,3.1,3423.8,141.7,6680.803,4010.550049,0.0157251283526421,0.0315724206349206
1992-11-01,3.09,3426.5,142.1,6729.459,4099.209961,0.0208131577819586,-0.00374279678201247
1992-12-01,2.92,3424.7,142.3,6729.459,4220.790039,0.0223679151386023,0.0295724026790203
1993-01-01,3.02,3419.1,142.8,6729.459,4282.839844,0.0443894006311893,0.0175552330665967
1993-02-01,3.03,3414.5,143.1,6808.939,4370.299805,0.0443894006311893,0.0175552330665967
1993-03-01,3.07,3411.7,143.3,6808.939,4337.180176,0.0624165050685406,0.0575659581409325
1993-04-01,2.96,3411.3,143.8,6808.939,4430.240234,0.0413788035511971,0.0714243002233555
1993-05-01,3,3436.9,144.2,6882.098,4336.620117,0.0413788035511971,0.0714243002233555
1993-06-01,3.04,3442.4,144.3,6882.098,4465.859863,0.0381883643567562,0.0780675724087521
1993-07-01,3.06,3442,144.5,6882.098,4445.950195,0.0381883643567562,0.0780675724087521
1993-08-01,3.03,3445.7,144.8,7013.738,4461.700195,0.029080655425787,0.0593619015773805
1993-09-01,3.09,3452.2,145,7013.738,4606.970215,0.0463744923472404,0.0524676945425922
1993-10-01,2.99,3456.7,145.6,7013.738,4619.870117,0.0238889157772064,0.0599248518564183
1993-11-01,3.02,3470.1,146,7115.652,4685.120117,0.0238889157772064,0.0599248518564183
1993-12-01,2.96,3474.5,146.3,7115.652,4598.290039,0.0421083495020866,0.0711261044520546
1994-01-01,3.05,3474.9,146.3,7115.652,4641.22998,0.0406157001852989,0.0762710705080592
1994-02-01,3.25,3475.7,146.7,7246.931,4783.660156,0.0406157001852989,0.0762710705080592
1994-03-01,3.34,3480.1,147.1,7246.931,4653.009766,0.0620258115231991,0.0604053136075989
1994-04-01,3.56,3481.3,147.2,7246.931,4383.100098,0.0620258115231991,0.0604053136075989
1994-05-01,4.01,3490.8,147.5,7331.075,4518,0.0620258115231991,0.0604053136075989
1994-06-01,4.25,3479.5,147.9,7331.075,4533.77002,0.0792263522744179,0.0700738079628111
1994-07-01,4.26,3488.2,148.4,7331.075,4413.390137,0.0792263522744179,0.0700738079628111
1994-08-01,4.47,3485.7,149,7455.288,4545.319824,0.0401757657527924,0.0728454483412385
1994-09-01,4.73,3486.1,149.3,7455.288,4683.080078,0.0538889467716217,0.0855710395286288
1994-10-01,4.76,3484.3,149.4,7455.288,4594.089844,0.0443157441914082,0.0942508072791406
1994-11-01,5.29,3487.2,149.8,7522.289,4640.549805,0.0443157441914082,0.0942508072791406
1994-12-01,5.45,3486.4,150.1,7522.289,4445.100098,0.0582254827022552,0.0796465450015914
1995-01-01,5.53,3492.4,150.5,7522.289,4529.049805,0.0604253523051739,0.0815415818431967
1995-02-01,5.92,3489.9,150.9,7580.997,4634.379883,0.0470000877976418,0.0548368932639833
1995-03-01,5.98,3491.1,151.2,7580.997,4789.299805,0.0470000877976418,0.0548368932639833
1995-04-01,6.05,3499.2,151.8,7580.997,4927.200195,0.0810448452830315,0.0599490931143968
1995-05-01,6.01,3524.2,152.1,7683.125,5030.899902,0.0810448452830315,0.0599490931143968
1995-06-01,6,3548.9,152.4,7683.125,5202.399902,0.016182903200388,0.0540615184281292
1995-07-01,5.85,3567.4,152.6,7683.125,5367.029785,0.016182903200388,0.0540615184281292
1995-08-01,5.74,3589,152.9,7772.586,5536.370117,0.0120758377015591,0.081970518943138
1995-09-01,5.8,3602.1,153.1,7772.586,5622.310059,0.0230538994073868,0.0725231008094239
1995-10-01,5.76,3613.4,153.5,7772.586,5772.049805,0.0162116475403309,0.0708947096447096
1995-11-01,5.8,3619.9,153.7,7868.468,5762.25,0.0162116475403309,0.0708947096447096
1995-12-01,5.6,3629.5,153.9,7868.468,5980.600098,0.0122754890471697,0.0562713337358727
1996-01-01,5.56,3647.9,154.7,7868.468,6096.109863,0.0295702461153269,0.0525581194599052
1996-02-01,5.22,3661.8,155,8032.84,6240.259766,0.0422893017530441,0.0570672158583237
1996-03-01,5.31,3686.9,155.5,8032.84,6328.310059,0.0422893017530441,0.0570672158583237
1996-04-01,5.22,3697.7,156.1,8032.84,6433.02002,0.0622997097671032,0.068174823633157
1996-05-01,5.24,3709.6,156.4,8131.408,6529.399902,0.0622997097671032,0.068174823633157
1996-06-01,5.27,3722.5,156.7,8131.408,6663.77002,0.0466037206351757,0.0655985397452789
1996-07-01,5.4,3737.1,157,8131.408,6666.810059,0.0466037206351757,0.0655985397452789
1996-08-01,5.22,3744,157.2,8259.771,6341.680176,0.0565342903137207,0.0783832676822937
1996-09-01,5.3,3753.4,157.7,8259.771,6444.680176,0.0180380418896675,0.0650929361009361
1996-10-01,5.24,3772.8,158.2,8259.771,6773.180176,0.0652275159955025,0.0795443624071402
1996-11-01,5.31,3795.1,158.7,8362.655,6841.790039,0.0652275159955025,0.0795443624071402
1996-12-01,5.29,3818.6,159.1,8362.655,7295.569824,0.0443502068519592,0.0685150752025752
1997-01-01,5.25,3834.6,159.4,8362.655,7147.799805,0.0853849872946739,0.0546084546783526
1997-02-01,5.19,3846.3,159.7,8518.825,7586.759766,0.0853849872946739,0.0546084546783526
1997-03-01,5.39,3861.2,159.8,8518.825,7591.52002,0.0880997180938721,0.0509394256434182
1997-04-01,5.51,3877,159.9,8518.825,7222.419922,0.0684778615832329,0.0690568821212215
1997-05-01,5.5,3889.2,159.9,8662.823,7512.399902,0.0684778615832329,0.0690568821212215
1997-06-01,5.56,3906,160.2,8662.823,8044.459961,0.0606672912836075,0.0640645340209734
1997-07-01,5.52,3923.9,160.4,8662.823,8441.429688,0.0375920049846172,0.0700003680790272
1997-08-01,5.54,3957.4,160.8,8765.907,8977.580078,0.0375920049846172,0.0700003680790272
1997-09-01,5.54,3973.1,161.2,8765.907,8901.719727,0.0176660101860762,0.0544580535915106
1997-10-01,5.5,3992.3,161.5,8765.907,9242.80957,0.0401007384061813,0.068398968884724
1997-11-01,5.52,4014.8,161.7,8866.48,9073.719727,0.0401007384061813,0.068398968884724
1997-12-01,5.5,4032.9,161.8,8866.48,9307.19043,0.0330009050667286,0.0645265561770191
1998-01-01,5.56,4056.2,162,8866.48,9327.700195,0.0668568164110184,0.0782059827182008
1998-02-01,5.51,4088.9,162,8969.699,9524.339844,0.0668568164110184,0.0782059827182008
1998-03-01,5.49,4114.3,162,8969.699,10000.639648,0.0742009431123734,0.0623258957072858
1998-04-01,5.45,4140.2,162.2,8969.699,10562.790039,0.0642251744866371,0.0603084596958351
1998-05-01,5.49,4164.4,162.6,9121.097,10682.490234,0.0642251744866371,0.0603084596958351
1998-06-01,5.56,4184.1,162.8,9121.097,10279.900391,0.0595061145722866,0.0722364807685784
1998-07-01,5.54,4203.8,163.2,9121.097,10786.80957,0.0349948741495609,0.0860590723103406
1998-08-01,5.55,4228.7,163.4,9293.991,10334.179688,0.0349948741495609,0.0860590723103406
1998-09-01,5.51,4267.6,163.5,9293.991,9090.009766,0.0433197245001793,0.0785545225773984
1998-10-01,5.07,4307.7,163.9,9293.991,9053.160156,0.0374162085354328,0.0782530789992235
1998-11-01,4.83,4346.4,164.1,9411.682,10185.269531,0.0374162085354328,0.0782530789992235
1998-12-01,4.68,4375.2,164.4,9411.682,10731.480469,0.0369336865842342,0.0612740619882812
1999-01-01,4.63,4402.6,164.7,9411.682,11307.200195,0.0606031753122807,0.0626518555261611
1999-02-01,4.76,4425.3,164.7,9526.21,11689.860352,0.0606031753122807,0.0626518555261611
1999-03-01,4.81,4432.1,164.8,9526.21,11277.580078,0.0573719181120396,0.0562189024894056
1999-04-01,4.74,4460.7,165.9,9526.21,11768.849609,0.0255551487207413,0.0899483199564899
1999-05-01,4.74,4485.3,166,9686.626,12386.629883,0.0255551487207413,0.0899483199564899
1999-06-01,4.76,4507.2,166,9686.626,11902.549805,0.050917100161314,0.0733380348772506
1999-07-01,4.99,4534.5,166.7,9686.626,12643.509766,0.0775280967354774,0.0716106160427589
1999-08-01,5.07,4551.7,167.1,9900.169,12143.259766,0.0775280967354774,0.0716106160427589
1999-09-01,5.22,4567.7,167.8,9900.169,12129.030273,0.050060510635376,0.0599513001921866
1999-10-01,5.2,4591.5,168.1,9900.169,11703.299805,0.050060510635376,0.0599513001921866
1999-11-01,5.42,4610.5,168.4,10002.179,12403.200195,0.0326331071555614,0.0773798408223351
1999-12-01,5.3,4638,168.8,10002.179,12923.450195,0.0426408387720585,0.0547675440956973
2000-01-01,5.45,4666.2,169.3,10002.179,13710.459961,0.0457651875913143,0.0770395815053553
2000-02-01,5.73,4679.4,170,10247.72,13392.780273,0.0457651875913143,0.0770395815053553
2000-03-01,5.85,4710.2,171,10247.72,13693.299805,0.0644286721944809,0.0652124195844922
2000-04-01,6.02,4766.1,170.9,10247.72,14121.639648,0.0161533858627081,0.0633301108920369
2000-05-01,6.27,4753.9,171.2,10318.165,13726.820313,0.0161533858627081,0.0633301108920369
2000-06-01,6.53,4771.8,172.2,10318.165,13368.110352,0.0282659754157066,0.0904852476592872
2000-07-01,6.54,4789.4,172.7,10318.165,13750.290039,0.0472348220646381,0.0709318714422061
2000-08-01,6.5,4817.5,172.7,10435.744,13363.030273,0.0472348220646381,0.0709318714422061
2000-09-01,6.52,4853.2,173.6,10435.744,14329.94043,0.006296182051301,0.0718700731256451
2000-10-01,6.51,4869.2,173.9,10435.744,13522.25,0.006296182051301,0.0718700731256451
2000-11-01,6.51,4880.3,174.2,10470.231,13252.599609,0.0078591126948595,0.0569589715028311
2000-12-01,6.4,4925,174.6,10470.231,12037.44043,0.0253662616014481,0.0583263362099436
2001-01-01,5.98,4975.7,175.6,10470.231,11763.919922,0.0253662616014481,0.0583263362099436
2001-02-01,5.49,5014.1,176,10599,12691.150391,0.0641425773501396,0.0535770714956352
2001-03-01,5.31,5072,176.1,10599,11429.450195,0.0641425773501396,0.0535770714956352
2001-04-01,4.8,5135.9,176.4,10599,10482.05957,0.0641425773501396,0.0535770714956352
2001-05-01,4.21,5133,177.3,10598.02,11667.490234,0.0641425773501396,0.0535770714956352
2001-06-01,3.97,5173.5,177.7,10598.02,11671.480469,0.0203912425786257,0.0753959152684643
2001-07-01,3.77,5203.4,177.4,10598.02,11477.370117,0.032268438488245,0.0728023887225637
2001-08-01,3.65,5237.2,177.4,10660.465,11259.730469,0.032268438488245,0.0728023887225637
2001-09-01,3.07,5348.4,178.1,10660.465,10506,0.032268438488245,0.0728023887225637
2001-10-01,2.49,5337.1,177.6,10660.465,9518.419922,0.032268438488245,0.0728023887225637
2001-11-01,2.09,5380.8,177.5,10783.5,10000.599609,0.0181382056325674,0.0536119745153836
2001-12-01,1.82,5433.8,177.4,10783.5,10443.790039,0.0270825419574976,0.0611440001535817
2002-01-01,1.73,5454.1,177.7,10783.5,10750.870117,0.0308970361948013,0.0491447142450664
2002-02-01,1.74,5483.4,178,10887.46,10490.169922,0.0299676768481731,0.0356760505407148
2002-03-01,1.73,5495.2,178.5,10887.46,10560.009766,0.0299676768481731,0.0356760505407148
2002-04-01,1.75,5495.4,179.3,10887.46,10765.179688,0.0571252480149269,0.0748114548643617
2002-05-01,1.75,5521.5,179.5,10984.04,10318.450195,0.0571252480149269,0.0748114548643617
2002-06-01,1.75,5546.5,179.6,10984.04,9865.089844,0.0351833328604698,0.0715817775408941
2002-07-01,1.73,5589.1,180,10984.04,9168.490234,0.0414832718670368,0.0739569670131264
2002-08-01,1.74,5631.6,180.5,11061.433,8386.19043,0.0414832718670368,0.0739569670131264
2002-09-01,1.75,5656,180.8,11061.433,8317.320313,0.0407916121184826,0.0513518359920919
2002-10-01,1.75,5700.4,181.2,11061.433,8044.620117,0.0447831638157368,0.0755692337127689
2002-11-01,1.34,5750.6,181.5,11174.129,8502.200195,0.0447831638157368,0.0755692337127689
2002-12-01,1.24,5772,181.8,11174.129,8841.230469,0.0248026251792908,0.054037370549535
2003-01-01,1.24,5804.6,182.6,11174.129,8601.240234,0.0490756034851074,0.0618407558518178
2003-02-01,1.26,5840.7,183.6,11312.766,8154.810059,0.0643104389309883,0.0324731488773537
2003-03-01,1.25,5861.4,183.9,11312.766,7920.370117,0.0643104389309883,0.0324731488773537
2003-04-01,1.26,5898.8,183.2,11312.766,8142.379883,0.0359980091452599,0.0638255225972063
2003-05-01,1.26,5959.3,182.9,11566.669,8698.400391,0.0359980091452599,0.0638255225972063
2003-06-01,1.22,5996,183.1,11566.669,9254.969727,0.0374372452497482,0.069217846547392
2003-07-01,1.01,6042.7,183.7,11566.669,9409.80957,0.0159302856773138,0.0925842499180486
2003-08-01,1.03,6100.8,184.5,11772.234,9454.160156,0.0159302856773138,0.0925842499180486
2003-09-01,1.01,6072.8,185.1,11772.234,9905.44043,0.0256444849073887,0.0717485185942938
2003-10-01,1.01,6063.6,184.9,11772.234,9859.55957,0.0447622537612915,0.0553758272650231
2003-11-01,1,6069.1,185,11923.447,10317.200195,0.0354572236537933,0.0730318693447154
2003-12-01,0.98,6067.3,185.5,11923.447,10471.05957,0.0354572236537933,0.0730318693447154
2004-01-01,1,6075.5,186.3,11923.447,10777.860352,0.0648996829986572,0.0642941869156244
2004-02-01,1.01,6114.3,186.7,12112.815,11060.94043,0.0519061796367168,0.0506245627559579
2004-03-01,1,6150.1,187.1,12112.815,11289.480469,0.0519061796367168,0.0506245627559579
2004-04-01,1,6191.2,187.4,12112.815,11107.419922,0.0562001466751099,0.0461171303083641
2004-05-01,1,6268.1,188.2,12305.307,10890.19043,0.0562001466751099,0.0461171303083641
2004-06-01,1.03,6270.5,188.9,12305.307,10940.080078,0.0358084067702293,0.073414940584155
2004-07-01,1.26,6284.3,189.1,12305.307,11024.150391,0.0807943493127823,0.0824346253140896
2004-08-01,1.43,6310.6,189.2,12527.214,10744.410156,0.0807943493127823,0.0824346253140896
2004-09-01,1.61,6345.3,189.8,12527.214,10748.870117,0.0425263121724129,0.0722023309955295
2004-10-01,1.76,6373.3,190.8,12527.214,11058.700195,0.0112502248957753,0.0395654726846418
2004-11-01,1.93,6399.8,191.7,12767.286,11079.110352,0.0112502248957753,0.0395654726846418
2004-12-01,2.16,6418.3,191.7,12767.286,11735.570313,0.043621338903904,0.0725639158718427
2005-01-01,2.28,6424.5,191.6,12767.286,11855.19043,0.00782023742794991,0.0662098700180095
2005-02-01,2.5,6432.8,192.4,12922.656,11721.580078,0.00782023742794991,0.0662098700180095
2005-03-01,2.63,6441.9,193.1,12922.656,11931.75,0.0670865029096603,0.0391128595607205
2005-04-01,2.79,6455.9,193.7,12922.656,11568.740234,0.0311310291290283,0.0935490901294473
2005-05-01,3,6473.3,193.6,13142.642,11422.44043,0.0311310291290283,0.0935490901294473
2005-06-01,3.04,6505.8,193.7,13142.642,11894.389648,0.034378994256258,0.106338734132212
2005-07-01,3.26,6537.4,194.9,13142.642,11916.219727,0.0333434119820595,0.0538736080327582
2005-08-01,3.5,6570.2,196.1,13324.204,12380.709961,0.0333434119820595,0.0538736080327582
2005-09-01,3.62,6604.3,198.8,13324.204,12233.80957,0.0769840404391289,0.0582547636958483
2005-10-01,3.78,6638.6,199.1,13324.204,12289.25,0.0351507589221001,0.0829745396161753
2005-11-01,4,6655,198.1,13599.16,12030.719727,0.0351507589221001,0.0829745396161753
2005-12-01,4.16,6681.9,198.1,13599.16,12685.099609,0.0366257503628731,0.0796251242807407
2006-01-01,4.29,6724.3,199.3,13599.16,12713.879883,0.037764485925436,0.0730175361276552
2006-02-01,4.49,6748.6,199.4,13753.424,12965.799805,0.0492106266319752,0.0468019765472372
2006-03-01,4.59,6762.9,199.7,13753.424,13037.69043,0.0492106266319752,0.0468019765472372
2006-04-01,4.79,6800.1,200.7,13753.424,13161.769531,0.0443773865699768,0.071417189837812
2006-05-01,4.94,6806.9,201.3,13870.188,13231.419922,0.0443773865699768,0.071417189837812
2006-06-01,4.99,6844.9,201.8,13870.188,13008.660156,0.0152708226814866,0.0827541859345962
2006-07-01,5.24,6886.3,202.9,13870.188,12945.099609,0.0495374202728271,0.0848102585009473
2006-08-01,5.25,6917.1,203.8,14039.56,12715.25,0.0495374202728271,0.0848102585009473
2006-09-01,5.25,6944.2,202.8,14039.56,13128.379883,0.0190063696354628,0.0906864299482053
2006-10-01,5.25,6993.3,201.9,14039.56,13289.419922,0.00325690861791372,0.0750464483946627
2006-11-01,5.25,7028.4,202,14215.651,13709.209961,0.038229763507843,0.0626300309696433
2006-12-01,5.24,7071.6,203.1,14215.651,14077.719727,0.038229763507843,0.0626300309696433
2007-01-01,5.25,7109.6,203.437,14215.651,14246.709961,0.0156732834875584,0.053086118455246
2007-02-01,5.26,7125.3,204.226,14402.082,14615.379883,0.0380201861262321,0.0525163880107973
2007-03-01,5.26,7159.1,205.288,14402.082,14236.030273,0.0380201861262321,0.0525163880107973
2007-04-01,5.25,7231.3,205.904,14402.082,14448.179688,0.0308704692870378,0.0571011742582466
2007-05-01,5.25,7245.4,206.755,14564.117,14983.849609,0.0308704692870378,0.0571011742582466
2007-06-01,5.25,7278.6,207.234,14564.117,15532.669922,0.00853233318775892,0.0827463449162227
2007-07-01,5.26,7309,207.603,14564.117,15378.660156,0.0240339860320091,0.0665475120686108
2007-08-01,5.02,7385.1,207.667,14715.058,14755.400391,0.0240339860320091,0.0665475120686108
2007-09-01,4.94,7403.2,208.547,14715.058,15007.280273,0.0521716214716434,0.0557591922812353
2007-10-01,4.76,7417.2,209.19,14715.058,15575.759766,0.0369223207235336,0.0675464380999261
2007-11-01,4.49,7441.8,210.834,14706.538,15261.089844,0.0227480921894312,0.0474878174340767
2007-12-01,4.24,7471.6,211.445,14706.538,14848.709961,0.0227480921894312,0.0474878174340767
2008-01-01,3.94,7505.5,212.174,14706.538,14613.570313,0.0366384573280811,0.0557427962874644
2008-02-01,2.98,7590.6,212.687,14865.701,14091.089844,0.0508835986256599,0.0554445591947004
2008-03-01,2.61,7656.2,213.448,14865.701,13450.660156,0.0508835986256599,0.0554445591947004
2008-04-01,2.28,7699.2,213.942,14865.701,13786.19043,0.0196737013757229,0.0682400703085849
